video_id,channel,title,view_count,quality,local_path,bytes,error
nFJ2u3v3nW4,2ch馴れ初め感動シネマ,【2ch馴れ初め】ヤクザ事務所に間違い電話する青あざ少女→若頭の俺が大量の部下をお届けした結果...,1377895,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\nFJ2u3v3nW4.jpg,340331,
E6eszIXfLUw,2ch馴れ初め感動シネマ,【2ch馴れ初め】ヤクザ事務所に飛び込んできた青あざだらけの双子姉妹→若頭の俺が大量の部下を引き連れて助けた結果,812229,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\E6eszIXfLUw.jpg,339350,
c9Ej2IOWKbI,2ch馴れ初め感動シネマ,【2ch馴れ初め】保育園の休園で3歳の妹を連れて登校した陰キャの俺→妹が学校一のスケバンを「ママ」と呼び膝の上にダイブした結果,807353,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\c9Ej2IOWKbI.jpg,241448,
v3mn15AT2uo,2ch馴れ初め感動シネマ,【2ch馴れ初め】修学旅行当日に置いてかれた貧乏ヤンキー娘→宿泊先ホテルのオーナー息子の俺がブチギレた結果,667103,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\v3mn15AT2uo.jpg,254649,
b0gCa6GNji4,2ch馴れ初め感動シネマ,【2ch馴れ初め】叔父にお見合いを押し付けられた俺→貧乏人のフリしたら想定外の結果に…,654068,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\b0gCa6GNji4.jpg,334884,
L8gWq7CSkSw,2ch馴れ初め感動シネマ,【2ch馴れ初め】前世の記憶を持つ3歳の双子の娘が住所を話すので、連れて行ったらヤクザ事務所だった結果…,640433,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\L8gWq7CSkSw.jpg,362140,
ko38MCc1BjA,2ch馴れ初め感動シネマ,【2ch馴れ初め】少女を助け上級生のヤクザ息子にボコられた小1の息子→元第一空挺団の俺が本気を出した結果,520172,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\ko38MCc1BjA.jpg,251289,
NFNdX55aWQQ,2ch馴れ初め感動シネマ,【2ch馴れ初め】同窓会でヤクザとイキがる同級生に見下される俺→一人娘が「パパもヤクザ！」と答えた結果,491161,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\NFNdX55aWQQ.jpg,350402,
aIxL3N9jveQ,俺たちの馴れ初め,【2ch馴れ初め】両親が他界し天涯孤独になった私→ オタクの叔父に引き取られた結果...【ゆっくり】,487757,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\aIxL3N9jveQ.jpg,302152,
0UeSt_WXb-I,2ch馴れ初め感動シネマ,【2ch馴れ初め】いつも俺を見下す金髪の元ヤン保育士→娘は他界した姉の子で俺は独身だとバレた結果,437523,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\0UeSt_WXb-I.jpg,250149,
94_8YzAMPes,俺たちの馴れ初め,【2ch馴れ初め】会社の親睦会に参加せずトイレ掃除するギャル社員→頭に来た俺が社長を呼び出した結果...【ゆっくり】,347009,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\94_8YzAMPes.jpg,245777,
cJcciYO58eI,2ch馴れ初め感動シネマ,【2ch馴れ初め】独身なのに小さな双子の娘と会社の花見に参加した俺→天敵の新卒ギャル社員が興奮して話しかけてきた結果…,325877,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\cJcciYO58eI.jpg,260369,
UUnYHXb9_Bs,俺たちの馴れ初め,【2ch馴れ初め】家族で訪れた露天風呂で同級生と遭遇 →〇〇ゃおうか？と誘われた結果…【ゆっくり】,321044,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\UUnYHXb9_Bs.jpg,206812,
y9vNfaSBYf8,2ch馴れ初め感動シネマ,【2ch馴れ初め】歓迎会で親がヤクザ組長と悪自慢する同僚にカマされる俺→組長弟で実は若頭の俺がブチギレた結果.....,313633,existing,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\y9vNfaSBYf8.jpg,251880,
